Date;Time;Start;MotorAmps;Motor_Rpm;Battery_A;Battery_V;VLeft;VRight;VVehicle;SOC;kWh;Battery_kW;Motor_kW?;AvailBattkW;QCVoltage;QCCommA;MaximumA?;Chargeremainmin;Charge Current??;ACPower?;heaterPower?;ChargeV??;InverterV
20230116 085745.856020;1673855865.85602;False;42.0;0.5;0.0;380.0;0.0;0.0;0.0;57.6171875;8.5;0.0;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085746.864863;1673855866.864863;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085747.875919;1673855867.875919;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085748.892055;1673855868.892055;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085749.904729;1673855869.904729;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085750.912808;1673855870.912808;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085751.921940;1673855871.92194;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085752.931394;1673855872.931394;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085753.944707;1673855873.944707;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085754.952423;1673855874.952423;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085755.967546;1673855875.967546;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085756.980123;1673855876.980123;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085758.002602;1673855878.002602;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085759.015703;1673855879.015703;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085800.025764;1673855880.025764;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085801.035301;1673855881.035301;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085802.044939;1673855882.044939;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085803.055258;1673855883.055258;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085804.063568;1673855884.063568;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085805.073354;1673855885.073354;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085806.084571;1673855886.084571;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085807.099653;1673855887.099653;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085808.109215;1673855888.109215;False;42.0;0.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.0021991148575128553;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085809.119442;1673855889.119442;False;38.5;15.5;-0.5;380.0;0.0;0.0;0.0;57.6171875;8.5;-0.19;0.062491513867656966;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085810.131426;1673855890.131426;False;102.5;217.5;-8.0;378.5;3.13;3.015;2.94;57.6171875;8.5;-3.028;2.3345960406989152;110;33;0;57;48;0.0;0.0;0.0;0;380
20230116 085811.145892;1673855891.145892;False;96.5;489.5;-15.0;376.5;7.355;7.195;6.96;57.6171875;8.5;-5.6475;4.946620892648589;110;33;0;57;48;0.0;0.0;0.0;0;378
20230116 085812.158526;1673855892.158526;False;111.5;740.5;-26.0;374.5;11.085;11.14;10.64;57.6171875;8.5;-9.737;8.64626512127105;110;33;0;57;48;0.0;0.0;0.0;0;376
20230116 085813.171652;1673855893.171652;False;149.0;1052.5;-47.0;370.0;16.025;15.525;15.11;57.6171875;8.5;-17.39;16.422413797252844;110;33;0;57;48;0.0;0.0;0.0;0;372
20230116 085814.193370;1673855894.19337;False;126.0;1490.5;-60.0;366.5;22.38;22.33;21.42;57.51953125;8.5;-21.99;19.666684170737465;110;33;0;57;48;0.0;0.0;0.0;0;368
20230116 085815.203250;1673855895.20325;False;135.5;1876.5;-80.0;362.0;28.29;28.24;27.08;57.51953125;8.5;-28.96;26.62664707531663;110;33;0;57;48;0.0;0.0;0.0;0;364
20230116 085816.213798;1673855896.213798;False;101.0;2199.5;-71.5;362.5;33.35;33.34;31.95;57.421875;8.5;-25.91875;23.263441239954858;110;33;0;57;48;0.0;0.0;0.0;0;366
20230116 085817.226748;1673855897.226748;False;87.5;2414.5;-65.5;364.0;36.53;36.645;35.06;57.421875;8.5;-23.842;22.124011764436624;110;33;0;57;48;0.0;0.0;0.0;0;366
20230116 085818.245238;1673855898.245238;False;130.5;2667.5;-111.0;354.5;40.41;40.18;38.62;57.32421875;8.5;-39.3495;36.45386305501086;110;33;0;57;48;0.0;0.0;0.0;0;356
20230116 085819.263301;1673855899.263301;False;129.0;3070.5;-123.0;351.0;46.26;46.26;44.34;57.2265625;8.5;-43.173;41.47891904424408;110;33;0;57;48;0.0;0.0;0.0;0;352
20230116 085820.275699;1673855900.275699;False;129.5;3535.5;-149.5;344.5;53.21;53.275;51.03;57.12890625;8.5;-51.50275;47.94565190220964;110;33;0;57;48;0.0;0.0;0.0;0;346
20230116 085821.290319;1673855901.290319;False;124.0;3937.5;-152.0;343.5;59.45;59.56;57.03;57.03125;8.5;-52.212;51.129420437173884;110;33;0;57;48;0.0;0.0;0.0;0;346
20230116 085822.299687;1673855902.299687;False;1.0;4087.5;-1.5;374.5;62.545;62.405;59.87;56.93359375;8.5;-0.56175;0.42804199905160933;110;33;0;57;48;0.0;0.0;0.0;0;378
20230116 085823.311116;1673855903.311116;False;-14.0;3876.5;15.0;379.5;58.36;58.82;56.15;56.93359375;8.5;5.6925;-5.683245830099056;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085824.319449;1673855904.319449;False;-22.0;3443.5;19.0;381.0;52.025;52.31;49.99;56.93359375;8.5;7.239;-7.933254488600065;110;33;0;57;48;0.0;0.0;0.0;0;384
20230116 085825.335920;1673855905.33592;False;-30.5;2988.5;21.0;381.5;45.355;45.175;43.38;57.03125;8.5;8.0115;-9.54512713934065;110;33;0;57;48;0.0;0.0;0.0;0;384
20230116 085826.345425;1673855906.345425;False;-31.0;2653.5;22.5;382.5;39.985;39.93;38.29;57.03125;8.5;8.60625;-8.614089976510535;110;33;0;57;48;0.0;0.0;0.0;0;384
20230116 085827.362944;1673855907.362944;False;-9.0;2483.5;8.5;379.5;37.725;37.645;36.11;57.03125;8.5;3.22575;-2.3406436065570757;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085828.376640;1673855908.37664;False;-13.0;2378.5;8.5;379.5;36.08;36.0;34.54;57.03125;8.5;3.22575;-3.23798718817744;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085829.385421;1673855909.385421;False;-48.0;2117.5;27.0;384.0;32.215;32.295;30.91;57.03125;8.5;10.368;-10.643715910362218;110;33;0;57;48;0.0;0.0;0.0;0;386
20230116 085830.401504;1673855910.401504;False;-71.5;1773.5;29.0;384.5;26.81;26.955;25.76;57.03125;8.5;11.1505;-13.279014727887239;110;33;0;57;48;0.0;0.0;0.0;0;388
20230116 085831.411119;1673855911.411119;False;-53.5;1396.5;20.0;383.0;20.475;21.915;20.31;57.03125;8.5;7.66;-7.823900884316361;110;33;0;57;48;0.0;0.0;0.0;0;384
20230116 085832.422970;1673855912.42297;False;-8.0;1285.5;2.5;379.0;18.135;20.915;18.71;57.12890625;8.5;0.9475;-1.076937961650581;110;33;0;57;48;0.0;0.0;0.0;0;382
20230116 085833.433183;1673855913.433183;False;27.0;1279.5;-11.5;376.0;18.075;20.525;18.49;57.12890625;8.5;-4.324;3.617701020241326;110;33;0;57;48;0.0;0.0;0.0;0;378
20230116 085834.441692;1673855914.441692;False;0;1294.5;0;378.5;18.365;20.71;18.72;57.12890625;8.5;0.0;0.0;110;33;0;57;48;0.0;0.0;0.0;0;380
20230116 085835.457024;1673855915.457024;False;0;1216.5;0;378.5;18.31;18.24;17.51;57.12890625;8.5;0.0;0.0;110;33;0;58;48;0.0;0.0;0.0;0;380
20230116 085836.470296;1673855916.470296;False;16.0;1181.5;-4.5;377.5;18.8;17.195;17.24;57.03125;8.5;-1.69875;1.9796222507820485;110;33;0;58;48;0.0;0.0;0.0;0;380
20230116 085837.486313;1673855917.486313;False;72.0;1190.5;-23.5;373.5;19.28;16.47;17.12;57.03125;8.5;-8.77725;8.976158529836757;110;33;0;57;48;0.0;0.0;0.0;0;376
20230116 085838.495952;1673855918.495952;False;60.0;1338.5;-24.0;373.5;21.85;18.415;19.29;57.03125;8.5;-8.964;8.410043533659877;110;33;0;57;48;0.0;0.0;0.0;0;376
20230116 085839.510047;1673855919.510047;False;87.0;1563.5;-41.5;369.5;24.095;23.335;22.72;57.03125;8.5;-15.33425;14.244452330274163;110;33;0;57;48;0.0;0.0;0.0;0;372
20230116 085840.519506;1673855920.519506;False;-6.5;1655.5;4.0;378.5;24.9;25.46;24.13;57.03125;8.5;1.514;-1.1268631049038789;110;33;0;58;48;0.0;0.0;0.0;0;380
20230116 085841.530189;1673855921.530189;False;-12.0;1542.5;4.0;379.0;23.195;23.35;22.3;57.03125;8.5;1.516;-1.9383626672649026;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085842.538217;1673855922.538217;False;-10.5;1422.5;3.5;379.0;21.52;21.545;20.63;57.03125;8.5;1.3265;-1.5641204424060182;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085843.549991;1673855923.549991;False;-8.5;1298.5;4.0;379.0;19.715;19.695;18.88;57.03125;8.5;1.516;-1.1558181171944648;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085844.560513;1673855924.560513;False;-9.0;1197.5;3.0;379.0;18.09;18.03;17.3;57.03125;8.5;1.137;-1.1286171608021331;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085845.577437;1673855925.577437;False;-9.0;1107.5;3.0;379.0;16.79;16.535;15.96;57.03125;8.5;1.137;-1.0437941591552087;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085846.587315;1673855926.587315;False;-6.0;996.5;2.0;379.0;15.105;15.13;14.48;57.03125;8.5;0.758;-0.6261194158604457;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085847.595149;1673855927.595149;False;-5.0;902.5;1.0;379.0;13.295;14.05;13.1;57.03125;8.5;0.379;-0.4725478949774647;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085848.606182;1673855928.606182;False;-1.5;812.5;1.0;379.0;12.485;12.215;11.83;57.03125;8.5;0.379;-0.12762720155208535;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085849.617072;1673855929.617072;False;56.5;807.5;-12.5;376.0;12.44;11.49;11.46;57.03125;8.5;-4.7;4.777707927640577;110;33;0;58;48;0.0;0.0;0.0;0;378
20230116 085850.625642;1673855930.625642;False;54.0;932.5;-15.5;375.5;14.295;14.04;13.57;57.03125;8.5;-5.82025;5.2731632690504675;110;33;0;58;48;0.0;0.0;0.0;0;378
20230116 085851.639763;1673855931.639763;False;69.5;1096.5;-24.0;373.0;16.065;17.085;15.88;57.03125;8.5;-8.952;7.980352198465131;110;33;0;58;48;0.0;0.0;0.0;0;376
20230116 085852.653707;1673855932.653707;False;79.0;1272.5;-28.0;372.5;18.295;20.11;18.4;57.03125;8.5;-10.43;10.527215182791597;110;33;0;58;48;0.0;0.0;0.0;0;374
20230116 085853.663128;1673855933.663128;False;85.5;1508.5;-39.0;369.5;21.895;23.62;21.8;56.93359375;8.5;-14.4105;13.506413676129577;110;33;0;58;48;0.0;0.0;0.0;0;372
20230116 085854.681350;1673855934.68135;False;116.0;1845.5;-69.0;363.0;27.75;27.745;26.59;56.93359375;8.5;-25.047;22.418195736506526;110;33;0;58;48;0.0;0.0;0.0;0;364
20230116 085855.693315;1673855935.693315;False;72.0;2142.5;-50.5;366.0;32.41;32.495;31.1;56.8359375;8.5;-18.483;16.154069424758717;110;33;0;58;48;0.0;0.0;0.0;0;368
20230116 085856.702668;1673855936.702668;False;-13.0;2105.5;6.5;378.5;31.925;31.78;30.52;56.8359375;8.5;2.46025;-2.866336777257767;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085857.713451;1673855937.713451;False;-67.0;1815.5;30.0;384.0;27.475;27.54;26.36;56.8359375;8.5;11.52;-12.737953933122734;110;33;0;58;48;0.0;0.0;0.0;0;386
20230116 085858.727076;1673855938.727076;False;-94.0;1427.5;31.5;384.5;21.305;22.12;20.81;56.93359375;8.5;12.11175;-14.051820340731545;110;33;0;58;48;0.0;0.0;0.0;0;388
20230116 085859.737876;1673855939.737876;False;-8.0;1080.5;5.0;380.0;15.15;17.24;15.52;56.93359375;8.5;1.9;-0.9051975632543391;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085900.747065;1673855940.747065;False;105.0;1031.5;-33.5;371.5;14.09;16.825;14.81;56.93359375;8.5;-12.44525;11.34193487762255;110;33;0;58;48;0.0;0.0;0.0;0;374
20230116 085901.762047;1673855941.762047;False;139.0;1159.5;-47.0;368.5;15.745;18.85;16.57;56.93359375;8.5;-17.3195;16.877735292513126;110;33;0;58;48;0.0;0.0;0.0;0;370
20230116 085902.772941;1673855942.772941;False;119.5;1399.5;-53.5;366.0;19.945;22.09;20.14;56.8359375;8.5;-19.581;17.513358026150684;110;33;0;58;48;0.0;0.0;0.0;0;368
20230116 085903.789391;1673855943.789391;False;109.0;1705.5;-56.0;365.0;25.725;25.67;24.62;56.8359375;8.5;-20.44;19.46735011686719;110;33;0;58;48;0.0;0.0;0.0;0;368
20230116 085904.802808;1673855944.802808;False;69.5;1940.5;-41.0;368.5;29.56;29.25;28.18;56.73828125;8.5;-15.1085;14.123003594274135;110;33;0;58;48;0.0;0.0;0.0;0;370
20230116 085905.817048;1673855945.817048;False;95.5;2128.5;-60.0;364.5;32.205;32.09;30.8;56.73828125;8.5;-21.87;21.286567882744702;110;33;0;58;48;0.0;0.0;0.0;0;366
20230116 085906.830545;1673855946.830545;False;78.0;2377.5;-55.5;364.5;35.73;36.13;34.43;56.73828125;8.5;-20.22975;19.4197549881653;110;33;0;58;48;0.0;0.0;0.0;0;366
20230116 085907.845386;1673855947.845386;False;62.0;2570.5;-51.0;365.5;38.255;39.245;37.13;56.640625;8.5;-18.6405;16.689292093175297;110;33;0;58;48;0.0;0.0;0.0;0;368
20230116 085908.858177;1673855948.858177;False;30.5;2698.5;-33.0;368.5;40.775;41.215;39.29;56.640625;8.5;-12.1605;8.618880905307256;110;33;0;58;48;0.0;0.0;0.0;0;372
20230116 085909.876548;1673855949.876548;False;-16.0;2571.5;9.5;378.5;38.755;38.95;37.23;56.640625;8.5;3.59575;-4.308589604643282;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085910.887210;1673855950.88721;False;-47.5;2234.5;26.5;382.5;33.825;33.9;32.45;56.640625;8.5;10.13625;-11.11482390870679;110;33;0;58;48;0.0;0.0;0.0;0;384
20230116 085911.901186;1673855951.901186;False;-22.0;1696.5;14.5;381.5;25.67;25.68;24.6;56.640625;8.5;5.53175;-3.908455420331062;110;33;0;58;48;0.0;0.0;0.0;0;382
20230116 085912.913257;1673855952.913257;False;69.0;1615.5;-29.5;371.5;24.125;24.56;23.33;56.640625;8.5;-10.95925;11.673058743310914;110;33;0;58;48;0.0;0.0;0.0;0;374
20230116 085913.922502;1673855953.922502;False;69.5;1845.5;-40.0;368.5;27.835;27.485;26.5;56.640625;8.5;-14.74;13.431591411096582;110;33;0;58;48;0.0;0.0;0.0;0;370
20230116 085914.932675;1673855954.932675;False;81.0;2199.5;-57.5;365.0;33.345;32.84;31.71;56.640625;8.5;-20.9875;18.656819212241025;110;33;0;58;48;0.0;0.0;0.0;0;366
20230116 085915.940720;1673855955.94072;False;70.5;2537.5;-60.5;363.5;38.35;38.055;36.61;56.54296875;8.5;-21.99175;18.733709692437635;110;33;0;58;48;0.0;0.0;0.0;0;366
20230116 085916.951571;1673855956.951571;False;74.5;2829.5;-65.0;362.5;42.825;42.62;40.94;56.54296875;8.16;-23.5625;22.07468875977526;110;33;0;58;48;0.0;0.0;0.0;0;364
20230116 085917.962857;1673855957.962857;False;65.0;3151.5;-68.0;361.5;47.55;47.645;45.61;56.4453125;8.16;-24.582;21.451580036874503;110;33;0;58;48;0.0;0.0;0.25;0;364
20230116 085918.971846;1673855958.971846;False;58.0;3408.5;-65.5;362.0;51.68;51.535;49.46;56.4453125;8.16;-23.711;20.702362548870898;110;33;0;58;48;0.0;0.0;0.25;0;364
20230116 085919.980968;1673855959.980968;False;38.0;3590.5;-52.5;363.5;54.4;54.42;52.15;56.34765625;8.16;-19.08375;14.287858668771257;110;33;0;58;48;0.0;0.0;0.25;0;368
20230116 085920.995715;1673855960.995715;False;-6.5;3598.5;-3.0;374.0;54.95;55.115;52.74;56.34765625;8.16;-1.122;-2.449421252187622;110;33;0;58;48;0.0;0.0;0.5;0;378
20230116 085922.015105;1673855962.015105;False;-18.5;3533.5;10.5;378.0;53.335;53.425;51.16;56.34765625;8.16;3.969;-6.84550421223338;110;33;0;58;48;0.0;0.0;0.5;0;380
20230116 085923.028760;1673855963.02876;False;-23.0;3360.5;14.5;379.5;50.82;50.655;48.63;56.34765625;8.16;5.50275;-8.093946952831184;110;33;0;58;48;0.0;0.0;0.5;0;382
20230116 085924.039487;1673855964.039487;False;61.0;3309.5;-66.5;362.0;50.01;50.36;48.09;56.34765625;8.16;-24.073;21.140771803679353;110;33;0;58;48;0.0;0.0;0.75;0;364
20230116 085925.049223;1673855965.049223;False;-20.5;3193.5;12.0;378.5;48.15;48.835;46.47;56.34765625;8.16;4.542;-6.855662028479985;110;33;0;58;48;0.0;0.0;0.75;0;382
20230116 085926.063835;1673855966.063835;False;-30.0;2534.5;20.0;381.0;38.11;38.705;36.8;56.34765625;8.16;7.62;-7.962366580523329;110;33;0;58;48;0.0;0.0;0.75;0;384
20230116 085927.086743;1673855967.086743;False;-65.0;1624.5;20.0;380.5;24.435;25.19;23.78;56.34765625;8.16;7.61;-11.057620742472675;110;33;0;58;48;0.0;0.0;0.75;0;384
20230116 085928.098811;1673855968.098811;False;-55.0;1018.5;11.0;379.5;14.94;15.8;14.72;56.34765625;8.16;4.1745;-5.866138882415541;110;33;0;58;48;0.0;0.0;0.75;0;382
20230116 085929.114174;1673855969.114174;False;3.0;873.5;-5.0;376.0;12.275;13.875;12.52;56.34765625;8.16;-1.88;0.27441811829106844;110;33;0;58;48;0.0;0.0;1.0;0;378
20230116 085930.123652;1673855970.123652;False;114.0;1163.5;-50.0;366.0;16.23;18.87;16.81;56.34765625;8.16;-18.3;13.889923599316553;110;33;0;58;48;0.0;0.0;1.0;0;368
20230116 085931.135091;1673855971.135091;False;118.0;1570.5;-68.0;362.0;22.955;24.01;22.5;56.34765625;8.16;-24.616;19.406560299020228;110;33;0;58;48;0.0;0.0;1.0;0;364
20230116 085932.148234;1673855972.148234;False;109.5;2006.5;-77.0;359.5;30.09;30.34;28.96;56.25;8.16;-27.6815;23.008160656911908;110;33;0;58;48;0.0;0.0;1.25;0;362
20230116 085933.163834;1673855973.163834;False;99.5;2408.5;-80.5;358.5;36.415;36.555;34.96;56.25;8.16;-28.85925;25.095644255467207;110;33;0;58;48;0.0;0.0;1.5;0;360
20230116 085934.179147;1673855974.179147;False;90.0;2769.5;-83.5;357.5;41.915;41.82;40.12;56.15234375;8.16;-29.85125;26.101922562350797;110;33;0;58;48;0.0;0.0;1.5;0;360
20230116 085935.197450;1673855975.19745;False;-11.5;2879.5;0;375.0;43.55;43.585;41.75;56.15234375;8.16;0.0;-3.467716150971193;110;33;0;58;48;0.0;0.0;1.75;0;378
20230116 085936.207872;1673855976.207872;False;-30.0;2734.5;17.0;379.5;41.59;41.675;39.9;56.15234375;8.16;6.4515;-8.590685111241289;110;33;0;58;48;0.0;0.0;1.75;0;382
20230116 085937.219484;1673855977.219484;False;-13.0;2064.5;3.0;376.5;31.485;31.525;30.19;56.15234375;8.16;1.1295;-2.810521147778989;110;33;0;58;48;0.0;0.0;2.0;0;378
20230116 085938.230138;1673855978.230138;False;-52.0;1419.5;10.5;378.0;21.61;21.63;20.72;56.15234375;8.16;3.969;-7.729784004402565;110;33;0;58;48;0.0;0.0;2.0;0;380
20230116 085939.239515;1673855979.239515;False;-58.5;1013.5;6.5;377.5;15.23;15.52;14.73;56.15234375;8.16;2.45375;-6.2088081011058485;110;33;0;58;48;0.0;0.0;2.0;0;380
20230116 085940.249814;1673855980.249814;False;-5.5;949.5;-3.5;375.5;13.69;15.07;13.78;56.15234375;8.16;-1.31425;-0.5468727411736433;110;33;0;58;48;0.0;0.0;2.0;0;378
20230116 085941.265308;1673855981.265308;False;70.5;1115.5;-34.5;369.0;15.205;17.875;15.85;56.15234375;8.16;-12.7305;8.235449521936623;110;33;0;58;48;0.0;0.0;2.0;0;370
20230116 085942.277306;1673855982.277306;False;114.0;1394.5;-55.5;364.5;19.29;22.37;19.96;56.0546875;8.16;-20.22975;16.64761363063767;110;33;0;58;48;0.0;0.0;2.0;0;366
20230116 085943.287483;1673855983.287483;False;160.0;1874.5;-102.5;354.0;28.015;28.68;27.16;56.0546875;8.16;-36.285;31.40754895548836;110;33;0;58;48;0.0;0.0;2.0;0;356
20230116 085944.296567;1673855984.296567;False;157.0;2432.5;-131.5;347.0;36.535;36.745;35.11;55.95703125;8.16;-45.6305;39.99273627958586;110;33;0;58;48;0.0;0.0;2.0;0;348
20230116 085945.309158;1673855985.309158;False;157.5;2975.5;-158.5;340.5;44.72;44.81;42.9;55.859375;8.16;-53.96925;49.07599693897126;110;33;0;58;48;0.0;0.0;2.25;0;342
20230116 085946.324968;1673855986.324968;False;146.0;3488.5;-180.0;335.5;52.365;52.39;50.2;55.76171875;8.16;-60.39;53.33597039730023;110;33;0;58;48;0.0;0.0;2.25;0;336
20230116 085947.335490;1673855987.33549;False;26.0;3867.5;-67.0;354.0;58.75;58.58;56.22;55.56640625;8.16;-23.718;10.530094976057388;110;33;0;58;48;0.0;0.0;2.25;0;362
20230116 085948.347129;1673855988.347129;False;-18.0;3783.5;0.5;373.0;57.295;57.405;54.96;55.56640625;8.16;0.1865;-7.1317294829141895;110;33;0;58;48;0.0;0.0;2.5;0;376
20230116 085949.356443;1673855989.356443;False;-22.5;3359.5;3.5;374.5;50.875;50.965;48.8;55.56640625;8.16;1.31075;-7.915635389801182;110;33;0;58;48;0.0;0.0;2.75;0;378
20230116 085950.372123;1673855990.372123;False;-33.0;2873.5;9.0;376.0;43.86;43.56;41.89;55.56640625;8.16;3.384;-9.9301031390993;110;33;0;58;48;0.0;0.0;3.0;0;380
20230116 085951.381406;1673855991.381406;False;-15.5;2659.5;-0.5;374.0;40.25;40.23;38.56;55.56640625;8.16;-0.187;-4.316783925481395;110;33;0;58;48;0.0;0.0;3.25;0;376
20230116 085952.395621;1673855992.395621;False;-15.5;2494.5;-1.0;374.0;37.765;37.74;36.18;55.56640625;8.16;-0.374;-4.048963151762865;110;33;0;58;48;0.0;0.0;3.5;0;378
20230116 085953.406134;1673855993.406134;False;-10.0;2179.5;-2.0;374.0;33.095;33.065;31.7;55.56640625;8.16;-0.748;-2.282367062832985;110;33;0;58;48;0.0;0.0;3.5;0;376
20230116 085954.416039;1673855994.416039;False;-12.5;1690.5;-6.0;373.5;25.635;25.77;24.63;55.56640625;8.16;-2.241;-2.212859325372311;110;33;0;59;48;0.0;0.0;3.5;0;376
20230116 085955.432472;1673855995.432472;False;-8.5;1354.5;-4.0;374.0;20.21;20.94;19.72;55.56640625;8.16;-1.496;-1.205664720631423;110;33;0;59;48;0.0;0.0;3.5;0;376
20230116 085956.444313;1673855996.444313;False;-11.5;1256.5;-5.5;373.5;17.795;19.92;18.07;55.56640625;8.16;-2.05425;-1.5131742815403038;110;33;0;59;48;0.0;0.0;3.5;0;376
20230116 085957.455413;1673855997.455413;False;21.0;1233.5;-16.0;371.5;17.375;19.9;17.86;55.56640625;8.16;-5.944;2.712608176742107;110;33;0;59;48;0.0;0.0;3.75;0;374
20230116 085958.465767;1673855998.465767;False;34.0;1308.5;-25.5;369.5;18.395;20.72;18.74;55.56640625;8.16;-9.42225;4.658877185518544;110;33;0;59;48;0.0;0.0;3.5;0;372
20230116 085959.474822;1673855999.474822;False;11.0;1354.5;-19.0;370.5;20.035;20.795;19.56;55.56640625;8.16;-7.0395;1.5602719914053709;110;33;0;59;48;0.0;0.0;3.5;0;372
20230116 090000.485422;1673856000.485422;False;-6.0;1281.5;-9.5;373.0;19.855;18.94;18.59;55.56640625;8.16;-3.5435;-0.805190197115064;110;33;0;59;48;0.0;0.0;3.75;0;376
20230116 090001.500346;1673856001.500346;False;-8.5;1185.5;-9.0;373.5;19.215;16.69;17.2;55.56640625;8.16;-3.3615;-1.0552347924020316;110;33;0;59;48;0.0;0.0;3.75;0;374
20230116 090002.510951;1673856002.510951;False;5.0;1124.5;-10.0;373.0;17.4;14.74;15.39;55.56640625;8.16;-3.73;0.5887868231602871;110;33;0;59;48;0.0;0.0;3.75;0;376
20230116 090003.530641;1673856003.530641;False;27.0;1029.5;-16.0;371.5;16.66;14.415;14.88;55.56640625;8.16;-5.944;2.9108426731836228;110;33;0;59;48;0.0;0.0;3.75;0;374
20230116 090004.546776;1673856004.546776;False;19.5;1070.5;-16.0;371.5;16.455;15.895;15.5;55.56640625;8.16;-5.944;2.1859987081841177;110;33;0;59;48;0.0;0.0;3.75;0;374
20230116 090005.555212;1673856005.555212;False;93.0;1232.5;-47.0;365.5;18.52;18.545;17.76;55.46875;8.16;-17.1785;12.003240131203201;110;33;0;59;48;0.0;0.0;3.75;0;366
